,unitid,year,fips,level_of_study,tuition_type,tuition_fees_ft,tuition_ft,fees_ft,credit_hour_charge_pt,tuition_published,fees_published,tuition_fees_published,tuition_pub_pct_increase,fees_pub_pct_increase,ingested_at_utc
167,101879,2021,1,2,4,13860.0,13320.0,540.0,740.0,,,,,,2026-02-13T03:05:35
168,101897,2021,1,1,2,4860.0,3690.0,1170.0,123.0,3690.0,1170.0,4860.0,,,2026-02-13T03:05:35
169,101897,2021,1,1,3,4860.0,3690.0,1170.0,123.0,3690.0,1170.0,4860.0,,,2026-02-13T03:05:35
170,101897,2021,1,1,4,8850.0,7380.0,1470.0,246.0,7380.0,1470.0,8850.0,,,2026-02-13T03:05:35
171,101912,2021,1,1,2,19990.0,18974.0,1016.0,767.0,18974.0,1016.0,19990.0,,,2026-02-13T03:05:35
172,101912,2021,1,1,3,19990.0,18974.0,1016.0,767.0,18974.0,1016.0,19990.0,,,2026-02-13T03:05:35
173,101912,2021,1,1,4,19990.0,18974.0,1016.0,767.0,18974.0,1016.0,19990.0,,,2026-02-13T03:05:35
174,101912,2021,1,2,2,14516.0,13680.0,836.0,570.0,,,,,,2026-02-13T03:05:35
175,101912,2021,1,2,3,14516.0,13680.0,836.0,570.0,,,,,,2026-02-13T03:05:35
176,101912,2021,1,2,4,14516.0,13680.0,836.0,570.0,,,,,,2026-02-13T03:05:35
177,101994,2021,1,1,2,4890.0,3690.0,1200.0,123.0,3690.0,1200.0,4890.0,,,2026-02-13T03:05:35
178,101994,2021,1,1,3,4890.0,3690.0,1200.0,123.0,3690.0,1200.0,4890.0,,,2026-02-13T03:05:35
179,101994,2021,1,1,4,8580.0,7380.0,1200.0,246.0,7380.0,1200.0,8580.0,,,2026-02-13T03:05:35
180,102030,2021,1,1,2,4860.0,3690.0,1170.0,123.0,3690.0,1170.0,4860.0,,,2026-02-13T03:05:35
181,102030,2021,1,1,3,4860.0,3690.0,1170.0,123.0,3690.0,1170.0,4860.0,,,2026-02-13T03:05:35
182,102030,2021,1,1,4,8550.0,7380.0,1170.0,246.0,7380.0,1170.0,8550.0,,,2026-02-13T03:05:35
183,102049,2021,1,1,2,35360.0,34410.0,950.0,1151.0,34410.0,950.0,35360.0,,,2026-02-13T03:05:35
184,102049,2021,1,1,3,35360.0,34410.0,950.0,1151.0,34410.0,950.0,35360.0,,,2026-02-13T03:05:35
185,102049,2021,1,1,4,35360.0,34410.0,950.0,1151.0,34410.0,950.0,35360.0,,,2026-02-13T03:05:35
186,102049,2021,1,2,2,21575.0,20935.0,640.0,906.0,,,,,,2026-02-13T03:05:35
187,102049,2021,1,2,3,21575.0,20935.0,640.0,906.0,,,,,,2026-02-13T03:05:35
188,102049,2021,1,2,4,21575.0,20935.0,640.0,906.0,,,,,,2026-02-13T03:05:35
189,102067,2021,1,1,2,4587.0,3690.0,897.0,123.0,3690.0,897.0,4587.0,,,2026-02-13T03:05:35
190,102067,2021,1,1,3,4587.0,3690.0,897.0,123.0,3690.0,897.0,4587.0,,,2026-02-13T03:05:35
191,102067,2021,1,1,4,8277.0,7380.0,897.0,246.0,7380.0,897.0,8277.0,,,2026-02-13T03:05:35
192,102076,2021,1,1,2,5344.0,3936.0,1408.0,123.0,3936.0,1408.0,5344.0,,,2026-02-13T03:05:35
193,102076,2021,1,1,3,5344.0,3936.0,1408.0,123.0,3936.0,1408.0,5344.0,,,2026-02-13T03:05:35
194,102076,2021,1,1,4,9280.0,7872.0,1408.0,246.0,7872.0,1408.0,9280.0,,,2026-02-13T03:05:35
195,102094,2021,1,1,2,8756.0,8256.0,500.0,344.0,8256.0,500.0,8756.0,,,2026-02-13T03:05:35
196,102094,2021,1,1,3,8756.0,8256.0,500.0,344.0,8256.0,500.0,8756.0,,,2026-02-13T03:05:35
197,102094,2021,1,1,4,17012.0,16512.0,500.0,688.0,16512.0,500.0,17012.0,,,2026-02-13T03:05:35
198,102094,2021,1,2,2,8426.0,8226.0,200.0,457.0,,,,,,2026-02-13T03:05:35
199,102094,2021,1,2,3,8426.0,8226.0,200.0,457.0,,,,,,2026-02-13T03:05:35
200,102094,2021,1,2,4,16652.0,16452.0,200.0,914.0,,,,,,2026-02-13T03:05:35
201,102234,2021,1,1,2,21100.0,21100.0,0.0,734.0,21100.0,0.0,21100.0,,,2026-02-13T03:05:35
202,102234,2021,1,1,3,21100.0,21100.0,0.0,734.0,21100.0,0.0,21100.0,,,2026-02-13T03:05:35
203,102234,2021,1,1,4,21100.0,21100.0,0.0,734.0,21100.0,0.0,21100.0,,,2026-02-13T03:05:35
204,102234,2021,1,2,2,7704.0,7704.0,0.0,428.0,,,,,,2026-02-13T03:05:35
205,102234,2021,1,2,3,7704.0,7704.0,0.0,428.0,,,,,,2026-02-13T03:05:35
206,102234,2021,1,2,4,7704.0,7704.0,0.0,428.0,,,,,,2026-02-13T03:05:35
207,102270,2021,1,1,2,11392.0,9548.0,1844.0,398.0,9548.0,1844.0,11392.0,,,2026-02-13T03:05:35
208,102270,2021,1,1,3,11392.0,9548.0,1844.0,398.0,9548.0,1844.0,11392.0,,,2026-02-13T03:05:35
